CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Title,CB Tags,CB Background Information,CB Lifetime Donation Amount,CB Most Recent Donation Date,CB Most Recent Donation Amount
8977,Person,James,Baker,,2020-01-19T00:00:00,walkerjeremy@long.org,hfoster@yahoo.com,Dr.,Student Scholar,Marital Status: Unknown,,,
2798,Person,Jessica,Sheppard,,2019-08-20T00:00:00,tarasanchez@robinson.com,cgreen@hotmail.com,Mr.,"Summer 2016, Major Donor",Job Title: Graphic Designer; Marital Status: Married,,,
3660,Company,,,Vaughn LLC,2018-03-20T00:00:00,wcochran@hotmail.com,mckeeeric@ellis.com,,Summer 2016,Marital Status: Married,,,
5966,Person,Jared,Burns,,2024-04-24T00:00:00,frazierjanice@gmail.com,gmartinez@koch.org,Dr.,"Pitch Perfect, Major Donor",Job Title: Administrative Assistant; Marital Status: Single,$13100.00,2024-02-14,$10000.00
5034,Company,,,Lawrence LLC,2017-07-02T00:00:00,,,Mr.,Pitch Perfect,Marital Status: Unknown,$1500.00,2022-07-25,$250.00
5287,Person,,,,2021-10-30T00:00:00,theodorewilson@blair.com,stephenweeks@barron.com,,"Major Donor, Student Scholar, Board Member",Marital Status: Unknown,$9000.00,2023-08-15,$5000.00
8101,Person,James,Pope,,2019-05-09T00:00:00,howardcarlos@gmail.com,,Ms.,,Job Title: Sales Executive; Marital Status: Married,$4500.00,2023-04-02,$500.00
8548,Person,Nicholas,Cooper,,2022-09-25T00:00:00,laurenfields@yahoo.com,oserrano@hotmail.com,,"Summer 2016, Pitch Perfect, Board Member",Marital Status: Unknown,$6500.00,2022-01-01,$500.00
7040,Person,Patrick,Woods,,2022-04-19T00:00:00,vanessa45@yahoo.com,,,Summer 2016,Marital Status: Unknown,$100.00,2024-07-25,$100.00
6523,Person,Michele,Burton,,2016-12-31T00:00:00,browneric@patton.biz,,Mr.,"Major Donor, Summer 2016",Marital Status: Unknown,,,
9432,Company,,,"Green, Evans and Evans",2021-02-13T00:00:00,joshuaparker@hotmail.com,perezsarah@yahoo.com,,"Summer 2016, Student Scholar",Job Title: Marketing Manager; Marital Status: Married,$15000.00,2019-06-20,$10000.00
3194,Person,David,Villanueva,,2022-12-16T00:00:00,collierdiana@ortiz.com,,,"Summer 2016, Pitch Perfect, Student Scholar",Job Title: Marketing Manager; Marital Status: Unknown,$5050.00,2020-03-23,$5000.00
6339,Person,Allen,Valentine,,2022-10-15T00:00:00,mckaylinda@hotmail.com,,,"Student Scholar, Major Donor",Job Title: Operations Manager; Marital Status: Single,$1500.00,2022-07-24,$1000.00
3054,Person,Cody,Wright,,2022-08-05T00:00:00,yjohns@bass.com,,Dr.,"Major Donor, Board Member",Marital Status: Unknown,,,
9827,Person,Cynthia,Vasquez,,2021-09-12T00:00:00,ryan82@yahoo.com,mark55@yahoo.com,Ms.,"Board Member, Major Donor",Job Title: Business Analyst; Marital Status: Married,$1250.00,2024-12-26,$1000.00
1288,Person,Rebecca,Maynard,,2021-06-23T00:00:00,fsteele@hotmail.com,ellendavis@smith.com,Mrs.,"Summer 2016, Major Donor",Job Title: Data Scientist; Marital Status: Single,$700.00,2023-04-01,$100.00
5032,Company,,,Johnson-Mills,2018-03-21T00:00:00,simpsondouglas@ortiz-miles.net,allen24@yahoo.com,,"Major Donor, Major Donor 2022, Pitch Perfect",Marital Status: Unknown,$3050.00,2021-12-13,$50.00
3240,Company,,,Davis-Anthony,2018-03-09T00:00:00,hartjames@hotmail.com,hhoward@silva.org,,Pitch Perfect,Job Title: Nurse Practitioner; Marital Status: Unknown,$2000.00,2020-09-16,$1000.00
